distance,speed
0,0.2269379
0.0016632,0.4175049
0.0049998,0.5182355
0.0094486,0.6034772
0.0144382,0.6518301
0.0194431,1.7396058
0.0333456,2.8529534
0.0560761,3.5488529
0.0833249,3.7823017
0.1111299,4.5238447
0.1394044,6.6576395
0.1755508,7.9891667
0.2189265,8.0150975
0.266751,7.9757164
0.3149841,7.9448342
0.3644768,7.9448342
0.4173062,8.0924997
0.4738553,8.8647623
0.5328017,10.1465225
0.5923043,10.2413502
0.6521798,10.9051418
0.7161312,11.2912434
0.7839752,11.2340576
0.85383,11.1800238
0.9244545,11.1309617
0.9961912,11.0822293
1.0721444,11.0387088
1.1533349,11.008696
1.2373056,11.0086861
1.321575,12.1387491
1.4066581,12.2760587
1.49619,12.2153721
1.5904384,12.1544163
1.6871996,12.1076565
1.7839607,12.1076565
1.8804269,12.7339144
1.9821929,13.9057083
2.0889637,15.7089691
2.1990714,15.7023689
2.3093975,15.6827039
2.4211733,15.6679319
2.5373979,15.6350938
2.6571491,15.5947279
2.7794907,15.5526377
2.9018323,15.5254433
3.0238011,15.4732586
3.1511476,15.4115308
3.283499,15.3669825
3.4187734,15.3669825
3.5550177,15.4297047
3.6918178,16.3244076
3.8315275,18.7582207
3.9755569,21.9946442
4.1218109,23.5427232
4.2681732,23.4969683
4.4160957,23.4466534
4.5695786,23.3913871
4.7275834,23.3394099
4.8894081,23.2850558
5.0523453,23.2376785
5.2158942,23.1838979
5.3871722,23.122727
5.56568,23.0565469
5.7480803,22.9736599
5.930479,22.8861591
6.1139917,22.7980165
6.3019528,22.7079914
6.4943304,22.6148133
6.6895213,22.519671
6.8847117,22.4293013
7.0793071,22.3534863
7.2800589,22.2939796
7.4869275,22.2939796
7.6959376,24.4866104
7.9061427,27.4492874
8.1169043,28.7684182
8.3336754,28.6898418
8.5577831,28.6137399
8.7852278,28.5399883
9.0125332,28.4762032
9.2410898,28.414893
9.4757633,28.3429988
9.7158194,28.2638381
9.9593906,28.1741174
