Distance,Speed
0,0.2511742
0.0016632,0.4620933
0.0049998,0.5735816
0.0094486,0.6679269
0.0144382,0.7214437
0.0194431,1.925391
0.0333456,3.1576407
0.0560761,3.92786
0.0833249,4.1862407
0.1111299,5.0069785
0.1394044,7.3686562
0.1755508,8.8423872
0.2189265,8.8569635
0.266751,8.8212512
0.3149841,8.7933395
0.3644768,8.7933197
0.4173062,8.9567556
0.4738553,9.8114939
0.5328017,11.2301426
0.5923043,11.3350983
0.6521798,12.0697803
0.7161312,12.4409206
0.7839752,12.3889149
0.85383,12.3397742
0.9244545,12.2951616
0.9961912,12.2509411
1.0721444,12.2115073
1.1533349,12.1843834
1.2373056,12.1843834
1.321575,13.435133
1.4066581,13.5532716
1.49619,13.498195
1.5904384,13.4429834
1.6871996,13.4007206
1.7839607,13.4007206
1.8804269,14.0938616
1.9821929,15.3907995
2.0889637,17.3619403
2.1990714,17.3187414
2.3093975,17.299265
2.4211733,17.283652
2.5373979,17.2529804
2.6571491,17.2157815
2.7794907,17.1771491
2.9018323,17.1517126
3.0238011,17.1042834
3.1511476,17.0483934
3.283499,17.0081329
3.4187734,17.0081329
3.5550177,17.0775547
3.6918178,18.0678082
3.8315275,20.7615452
3.9755569,24.3436108
4.1218109,25.8152281
4.2681732,25.7726007
4.4160957,25.7260373
4.5695786,25.6751025
4.7275834,25.6269847
4.8894081,25.5767757
5.0523453,25.5326428
5.2158942,25.4829914
5.3871722,25.4268061
5.56568,25.3661742
5.7480803,25.2907726
5.930479,25.211315
6.1139917,25.1313254
6.3019528,25.0496771
6.4943304,24.9652385
6.6895213,24.8790863
6.8847117,24.7972954
7.0793071,24.7287019
7.2800589,24.6749241
7.4869275,24.6749134
7.6959376,27.1017132
7.9061427,30.3807964
8.1169043,30.5789305
8.3336754,30.5043855
8.5577831,30.4313665
8.7852278,30.3599778
9.0125332,30.2962358
9.2410898,30.234247
9.4757633,30.1638015
9.7158194,30.0873704
9.9593906,30.0023827
10.2035179,29.91339
10.4474554,29.8248879
10.6971436,29.7348907
10.9518366,29.6473121
11.2093105,29.5630659
11.4665537,29.4705373
11.7245836,29.3741876
11.9887304,29.2791433
12.2581701,29.1914758
12.5317707,29.1018799
12.8059273,29.0115239
13.0798025,28.9171417
13.3622999,28.8165334
13.6525841,28.7178975
13.9458628,28.6224447
14.2405949,28.5210538
14.5358829,28.415115
14.8302717,28.3089781
15.1255598,28.2019892
15.4208479,28.0893526
15.7152367,27.9741305
16.0105247,27.8589791
16.3052559,27.7450701
16.5985355,27.6297248
16.8927116,27.5126474
17.1868877,27.3954233
