File,RPM,Torque,Average Power,Peak Power,Energy,Time
data/11_7.json,66,19710,34703.40512,125419.7688,5696.265992,585
data/11_7.json,66,19210,34368.56977,123727.079,5650.948902,586
data/11_7.json,56,19710,34411.21494,115312.384,5648.305483,585
data/11_7.json,68,19710,34703.40512,125419.7688,5696.265992,585
data/11_7.json,68,19210,34368.56977,123727.079,5650.948902,586
data/11_7.json,50,20610,32864.49862,107742.4767,5394.425279,585
data/11_7.json,50,20760,33027.38433,108381.2501,5416.528098,584.5
data/11_7.json,50,20510,32729.25452,107348.9242,5376.817766,585.5
data/11_7.json,50,20260,32572.72122,105827.4263,5355.671896,586
data/11_7.json,78,19710,34703.40512,125419.7688,5696.265992,585
data/11_7.json,78,19210,34368.56977,123727.079,5650.948902,586
data/11_7.json,74,19710,34703.40512,125419.7688,5696.265992,585
data/11_7.json,74,19210,34368.56977,123727.079,5650.948902,586
data/11_7.json,76,19710,34703.40512,125419.7688,5696.265992,585
data/11_7.json,76,19210,34368.56977,123727.079,5650.948902,586
data/11_7.json,72,19710,34703.40512,125419.7688,5696.265992,585
data/11_7.json,72,19210,34368.56977,123727.079,5650.948902,586
data/11_7.json,44,28360,31039.27911,129802.5066,5086.122054,584
data/11_7.json,44,27310,30828.61123,125830.229,5060.251843,585
data/11_7.json,44,26310,30476.71348,121109.8503,5011.042115,586
data/11_7.json,46,23260,31452.87217,111927.8659,5162.718917,585
data/11_7.json,70,19710,34703.40512,125419.7688,5696.265992,585
data/11_7.json,70,19210,34368.56977,123727.079,5650.948902,586
data/11_7.json,42,42560,30410.02225,186542.0707,4991.544056,585
data/11_7.json,42,44610,30491.48294,195084.9379,5000.637423,584.5
data/11_7.json,42,40560,30221.44785,177373.6857,4964.83101,585.5
data/11_7.json,52,20110,33383.09542,109346.8062,5479.548491,585
data/11_7.json,52,19960,33437.75913,108680.5076,5493.212113,585.5
data/11_7.json,52,20260,33572.96992,109642.1708,5506.004748,584.5
data/11_7.json,58,19710,34562.16504,119662.1795,5673.082645,585
data/11_7.json,58,19210,34232.39169,116649.4974,5628.55823,586
data/11_7.json,62,19710,34703.40512,125419.7688,5696.265992,585
data/11_7.json,62,19210,34368.56977,123727.079,5650.948902,586
data/11_7.json,64,19710,34703.40512,125419.7688,5696.265992,585
data/11_7.json,64,19210,34368.56977,123727.079,5650.948902,586
data/11_7.json,48,21510,32247.65269,107844.7998,5293.175315,585
data/11_7.json,48,21260,32124.39866,106762.7892,5277.451015,585.5
data/11_7.json,48,21760,32354.55656,109248.2076,5306.183589,584.5
data/11_7.json,54,19710,33979.02162,110942.971,5577.36466,585
data/11_7.json,60,19710,34670.12512,121377.6367,5690.803366,585
data/11_7.json,60,19210,34334.0043,119981.2587,5645.265579,586
data/11_10.json,66,16460,35481.57478,103633.924,5823.99586,585
data/11_10.json,56,16460,35298.13282,96018.54985,5793.885437,585
data/11_10.json,68,16460,35481.57478,103633.924,5823.99586,585
data/11_10.json,50,17210,34155.4528,90017.70335,5596.740862,584
data/11_10.json,50,16960,33921.60508,88607.67997,5567.940229,585
data/11_10.json,50,16710,33575.64709,87450.98458,5520.57497,586
data/11_10.json,78,16460,35481.57478,103633.924,5823.99586,585
data/11_10.json,74,16460,35481.57478,103633.924,5823.99586,585
data/11_10.json,76,16460,35481.57478,103633.924,5823.99586,585
data/11_10.json,72,16460,35481.57478,103633.924,5823.99586,585
data/11_10.json,44,20110,31337.11544,92378.3021,5148.114785,585.5
data/11_10.json,44,20160,31380.62699,92860.88228,5150.86049,585
data/11_10.json,44,19960,31412.55623,91893.47851,5160.508326,585.5
data/11_10.json,44,20260,31471.15632,92907.9782,5161.304958,584.5
data/11_10.json,46,18710,32578.32327,89954.17253,5338.311109,584
data/11_10.json,46,18360,32216.67844,88199.86201,5288.091158,585
data/11_10.json,46,18310,32281.4726,88194.36148,5303.255388,585.5
data/11_10.json,46,18210,32288.37828,87702.33081,5308.919662,586
data/11_10.json,46,18460,32456.86636,88862.56384,5322.962511,584.5
data/11_10.json,70,16460,35481.57478,103633.924,5823.99586,585
data/11_10.json,40,48710,30276.8301,203446.8659,4961.186527,584
data/11_10.json,40,40560,30039.44814,169625.3957,4930.717497,585
data/11_10.json,42,23760,30530.92042,104274.354,5015.67169,585.5
data/11_10.json,42,24010,30552.8638,105374.2954,5014.990271,585
data/11_10.json,42,23260,30497.44271,102071.6271,5014.450457,586
data/11_10.json,42,24310,30746.26031,106887.0428,5042.421199,584.5
data/11_10.json,52,16710,34565.41356,89749.56075,5673.615862,585
data/11_10.json,58,16460,35451.65652,99518.00039,5819.085035,585
data/11_10.json,62,16460,35481.57478,103633.924,5823.99586,585
data/11_10.json,64,16460,35481.57478,103633.924,5823.99586,585
data/11_10.json,48,17460,33008.1762,87687.28894,5418.008719,585
data/11_10.json,48,17710,33253.07445,89017.83765,5448.876397,584
data/11_10.json,54,16710,35174.5562,94447.24676,5763.731992,584
data/11_10.json,54,16460,34793.14313,92832.80741,5710.995717,585
data/11_10.json,60,16460,35477.57858,101780.2353,5823.339919,585
data/12_11.json,66,13760,33247.54122,87620.55404,5457.298433,585
data/12_11.json,66,13660,32884.96747,85036.32489,5407.012048,586
data/12_11.json,56,13910,33353.11837,81527.21029,5465.269677,584
data/12_11.json,56,13760,33044.8891,80359.56407,5428.670754,585.5
data/12_11.json,56,13810,33178.76471,80947.08209,5446.009359,585
data/12_11.json,38,62910,28179.00874,245643.1968,4633.248912,586
data/12_11.json,38,56810,28147.91888,223034.4538,4628.137054,586
data/12_11.json,38,64410,28174.1892,250703.1446,4632.456474,586
data/12_11.json,38,64810,28189.01496,254060.2326,4634.894155,586
data/12_11.json,38,64910,28194.46864,254910.8985,4635.79086,586
data/12_11.json,38,60860,28197.36828,241761.5131,4636.267624,586
data/12_11.json,38,64960,28195.33831,255340.3528,4635.933852,586
data/12_11.json,38,64660,28182.62032,252794.8681,4633.842735,586
data/12_11.json,38,63910,28174.20512,251908.1533,4632.459091,586
data/12_11.json,38,64860,28193.40914,254484.1365,4635.616654,586
data/12_11.json,68,13760,33247.54122,87620.55404,5457.298433,585
data/12_11.json,68,13660,32884.96747,85036.32489,5407.012048,586
data/12_11.json,50,13910,31812.65869,72586.12447,5230.700896,586
data/12_11.json,50,14010,31933.23064,73172.38834,5246.045606,585.5
