dist,speed
0,37
3.9999998,37.4877387
5.000001,37.1477081
6.000001,36.8063353
6.999999,36.4613794
7.9999995,36.10771
9,35.7503584
10,35.3912597
11,35.0293349
13,34.2988531
14,33.9334491
15.000001,33.5737539
17,32.869302
18,32.5185515
20,31.838803
21.0000019,31.5258459
23.0000019,30.9627531
24.9999981,30.460768
26,30.2378523
28,29.8649427
30.0000019,29.5795086
32,29.3700477
34,29.1787354
36,29.1024113
38,29.1024113
40,29.1024113
42,29.369257
45,29.6848164
47,29.9574585
49,30.3099346
51,30.6176929
53.9999962,30.7858734
56,30.8304214
58,30.9324036
60.9999962,30.9214494
63,30.8807554
66,30.7764726
68,30.7139791
71,30.5711759
73,30.4840961
76,30.3218207
78,30.2363198
81,30.1344606
84,29.9777068
86,29.8926262
89,29.7499657
91,29.7499657
94,29.6724515
96,29.6721363
99,29.6721363
102,29.7995567
104,30.046526
107,30.3844242
110,30.6685238
112,31.15065
115,31.8429527
117.9999924,32.6979828
120,33.6491585
123,34.5534782
125.9999847,35.8769646
129.0000153,37.6376762
132,39.7167969
134.9999847,41.8921776
138.0000153,44.5177269
141,46.9630154
144,46.4255219
147.0000153,45.7682259
151,44.8542282
154.0000153,44.2142787
157,43.548332
160,42.7914681
164,41.7402046
167,40.9862811
171,40.0026627
174,39.323659
176.9999847,38.7354991
181,38.0615646
183.9999847,37.6204603
187,37.2860941
191.0000153,36.989193
194,36.989193
197,36.989193
201,37.2237663
204,37.3123856
208,37.6376686
211,38.1137238
215,38.6235275
218,39.1206398
222,39.7108459
225,40.4806404
229,41.4637527
232,42.6365547
236,43.933403
239,45.1125679
241.9999847,46.8577271
245.9999847,49.246891
248.9999847,52.1011696
252.9999847,54.8902626
257,58.9230576
260,64.3828964
264,70.3309937
267,70.2484843
271,69.811863
275,69.2979325
278,68.8755816
282,68.2692465
285.9999695,67.6223943
290,66.9410014
292.9999695,66.4105308
297,65.6786197
301,64.9358673
305,64.3220107
309,63.6936884
312,63.0913016
316,62.2705039
320,61.4376661
324,60.5926299
327.9999695,59.7352376
332,58.8661196
336,58.0110435
340,57.1410497
343.9999695,56.2441437
348,55.3313547
352,54.4049701
356,53.4716743
359.9999695,52.5291811
364,51.5844372
368,50.6629809
371.9999695,49.7651974
376,48.8868813
380,48.0230454
384,47.1662933
387,46.5280907
391,45.6817711
394.9999695,44.8434622
398,44.2316314
401.9999695,43.4306533
405,42.8409358
408.9999695,42.0551667
412,41.4728949
415.9999695,40.6848877
419,40.0868043
422,39.4894801
424.9999695,38.8829487
429,38.0495966
431.9999695,37.4539403
435,36.9412765
438.9999695,36.3378641
442,35.9309985
445,35.608487
449,35.3052476
452,35.2145539
454.9999695,35.0742302
458,35.0742302
461.9999695,35.0742302
465,35.6136665
468,36.5789871
471,37.8204575
475,39.0514603
478,41.0210342
481,43.6557236
484.9999695,46.5031776
488,48.908802
492,52.4353638
494.9999695,54.7869755
498.9999695,54.2585733
502.0000305,53.8108122
506.0000305,53.1818269
509,52.6963676
513,52.031697
517,51.3851503
520.000061,50.9303437
524.000061,50.3617457
528,49.8286205
531,49.4813497
535,49.0994747
539.000061,48.7946549
542,48.6037056
546,48.4450264
550,48.4450264
554,48.4450264
557.000061,48.8384895
561.000061,49.4437408
565,49.883625
569,50.6685562
573,51.7272339
576.000061,52.8638535
580.000061,53.8625908
584.000061,55.0346909
588,56.3061256
592,57.4129562
596,58.1275291
600,58.4402008
604.000061,58.8530083
608.000061,59.0092659
612.000061,59.0092659
616,58.9839426
620,58.8952387
624,58.7612713
628,58.5582154
632,58.2702921
636.000061,57.8933405
640.000061,57.430627
644,56.9029728
648,56.2976297
652,55.6105745
656,54.8493391
659.000061,54.2373584
663.000061,53.3658985
667,52.444085
670,51.739394
674,50.9741667
678.000061,50.1795589
681,49.4437245
685,48.4399735
688,47.6962069
692.000061,46.7296126
695,46.0303688
699,45.1232655
702,44.4844802
705.000061,43.9059005
709.000061,43.2092508
712,42.7388685
715.000061,42.3397822
719.000061,41.9188857
722,41.7086724
725,41.5927073
729.000061,41.3982405
732,41.3978043
735,41.3978043
739,41.4071269
742.000061,41.1807486
745,40.9080592
749,40.4625461
752.000061,40.09372
756.000061,39.6070558
759,39.292655
763,38.9241811
766.000061,38.7046165
770.000061,38.7046165
773,38.7046165
776,38.7219009
780.000061,39.3103218
783.000061,39.5948029
787,40.4282341
790,41.8621864
794,43.7488403
798.000061,45.7357216
801,48.1815834
805,51.4974365
809,55.281414
812.000061,58.7153625
816.000061,61.2561378
820,63.9258719
824,63.5106455
827,63.1179211
831,62.521611
835.000061,61.8747918
839.000061,61.1814856
843,60.4465992
847,59.6781941
851,58.8892936
855,58.0824072
859,57.2613614
862.000061,56.6392407
866,55.8117342
870,54.9902969
874,54.1754431
878,53.3657005
881.000061,52.7710913
885.000061,51.9954219
889,51.231133
893,50.4694835
896,49.9064028
900.000061,49.1631184
904.000061,48.4243616
907,47.8760542
911,47.1391276
914.000061,46.5876331
918.000061,45.8495896
921,45.3005773
924,44.7552105
928.000061,44.0161724
931,43.4587251
934,42.9047338
937.000061,42.3590426
941.000061,41.6303837
944,41.0893924
947,40.5519196
950.000061,40.0295736
953,39.5334518
957,38.8933516
960.000061,38.4371276
963,38.0045471
966,37.6156597
969.000061,37.2866687
973.000061,36.8988402
976,36.6350917
979.000061,36.4305105
982,36.3110692
985,36.3105621
988.000061,36.3105621
991,36.5372009
995.000061,36.668911
997.999939,37.0367813
1000.999939,37.6564941
1003.999939,38.4687614
1007,39.3812828
1010.999939,40.2699242
1013.999939,41.5594063
1016.999939,43.2247276
1020.999878,45.1010895
1023.999939,46.9616127
1028,49.0997963
1031,51.9255981
1035,55.3478928
1038,56.048564
1041.999878,55.4792446
1046,54.7744314
1048.999878,54.1724377
1053,53.2973831
1056.999878,52.3727398
1060,51.657939
1064,50.6856488
1068,49.7223507
1071.999878,48.7340885
1074.999878,47.9624038
1079,46.9095512
1082,46.1096717
1086,45.0419468
1089,44.2521502
1092.999878,43.2210736
1096,42.4685407
1099.999878,41.4830683
1102.999878,40.7780991
1106,40.1244154
1110,39.3125387
1112.999878,38.7488321
1115.999878,38.2446768
1119,37.8273356
1122,37.5157242
1125,37.3010895
1129,37.0027868
1132,36.8682468
1135,36.6740529
1138,36.4104264
1140.999878,36.0398739
1143.999878,35.5921844
1147,35.0793233
1150,34.5023628
1153,33.9136788
1156,33.3539841
1158.999878,32.8432492
1162,32.3625893
1165,31.9649247
1168,31.6916513
1171,31.5426585
1173.999878,31.3021984
1176.999878,31.3020325
1180,31.3020325
1183,31.7729797
1186,32.660553
1189,33.7680969
1191,35.0037842
1194,36.845459
1196.999878,38.9710503
1199.999878,40.6537955
1203,40.342208
1206,39.8649275
1209,39.344064
1212,38.8061685
1216,38.1280018
1219,37.671865
1222,37.2608318
1224.999878,36.9316265
1227.999878,36.7027137
1231,36.5479026
1234,36.3535919
1237,36.3535919
1240.999878,36.3535919
1244,36.4234047
1247,36.680439
1250,36.8968964
1253,37.2084198
1255.999878,37.4827385
1260,37.5143993
1263,37.3979674
1265.999878,37.2796313
1268.999878,37.1698384
1273,37.0870257
1275.999878,37.0865555
1278.999878,37.0865555
1282,37.2222748
1286,37.3056374
1288.999878,37.5179672
1291.999878,37.8219032
1296,38.1640663
1298.999878,38.5588799
1301.999878,38.9787369
1306,39.6247482
1309,40.6231766
1311.999878,41.2217024
1314.999878,40.7465339
1318,40.1366773
1321,39.406222
1324,38.6395172
1328,37.777784
1331,37.1564195
1334,36.4851903
1336,35.9618971
1339,35.1311416
1342,34.3722362
1344.999878,33.6829587
1347.999878,33.0807229
1351,32.6042849
1354,32.2740819
1357,32.0640172
1360,31.8173409
1362,31.8173409
1365,31.8173409
1367.999878,32.0817299
1370.999878,32.5486298
1374,33.0560265
1377,33.5579491
1380,34.2027473
1383,34.9071693
1385.999878,35.5969162
1389,36.275444
1392,36.9358139
1395.999878,37.8531494
1398.999878,39.1093826
1402,40.6939201
1405,42.5029716
1408.999878,44.3506546
1412,47.1338196
1415,50.9070892
1418.999878,55.2439499
1421.999878,57.5937466
1426,57.0222051
1429,56.5797641
1433,55.9188271
1436.999878,55.2347172
1439.999878,54.5770022
1444,53.6631298
1448,52.730106
1451,52.0178071
1454.999878,51.0493768
1459,50.053861
1463,49.0337931
1466,48.2531613
1469.999878,47.2583742
1472.999878,46.5000481
1477,45.4601081
1480,44.6592723
1484,43.5798196
1487,42.7895764
1490.999878,41.7729555
1494,41.0436668
1497,40.3493852
1500.999878,39.4858111
1504,38.9084659
1507,38.4067407
1510.999878,37.7938933
1514,37.4135324
1517,37.1450862
1520,37.1446533
1523.999878,37.1446533
1527,37.1894951
1530,37.2217827
1533,37.7149391
1537,38.7287827
1540,40.1857452
1543,41.9039307
1546.999878,43.7472534
1550,46.5669098
1554,50.4119148
1556.999878,50.3652422
1560,49.8369988
1564,49.0196812
1568,48.1701056
1571,47.5128197
1574.999878,46.5708202
1578,45.8432781
1582,44.8634413
1584.999878,44.1564628
1589,43.2726507
1592,42.6662293
1596,41.9129301
1599,41.4060873
1602.999878,40.8198177
1606,40.465531
1610,40.0722507
1612.999878,39.8110815
1615.999878,39.6308203
1620,39.5480995
1622.999878,39.5480995
1627,39.5480995
1630,39.8393898
1634,40.0427055
1637,40.5219498
1640.999878,41.3255119
1643.999878,42.4178848
1648,43.7080688
1650.999878,44.9980354
1655,46.9681892
1658.999878,49.6709175
1662,49.4577532
1666,48.7665178
1670,47.9283151
1673,47.2247053
1676.999878,46.2563351
1681,45.5843924
1685,44.8644414
1688,44.0816323
1691.999878,43.0028623
1694.999878,42.2061014
1699,41.1659674
1702,40.4020673
1706,39.3986883
1709,38.6701689
1713,37.7184163
1716,37.0185428
1719,36.3205714
1722.999878,35.375922
1726,34.6699772
1729,33.9683189
1732,33.2672702
1735,32.561239
1737.999878,31.8449903
1740.999878,31.1372748
1744,30.4614696
1747,29.8328526
1750,29.2418841
1753,28.6942975
1755.999878,28.2274212
1758,28.0179596
1760.999878,27.7949261
1763,27.6189289
1765.999878,27.6185093
1768.999878,27.6185093
1770.999878,27.9244995
1773.999878,28.5285511
1775.999878,29.3558102
1778.999878,30.14044
1782,31.463726
1785,33.3648949
1787,35.6907616
1790,38.0958786
1793,41.1750221
1796,41.9048426
1798.999878,41.2383343
1801.999878,40.539032
1805,40.539032
1808,40.539032
1811,60.4474287
1814,60.1394712
1816.999878,59.8190621
1819.999878,59.5456702
1824,59.3007244
1827,59.2291698
1829.999878,59.1416228
1834,58.95359
1837,58.7375043
1841,58.3735393
1844,58.0440465
1847.999878,57.530453
1852,56.9552303
1855,56.490853
1859,55.8268772
1862.999878,55.1207985
1865.999878,54.5685624
1870,53.8100854
1874,53.0378341
1878,52.2451353
1880.999878,51.6507128
1885,50.8743327
1889,50.1288076
1893,49.4204967
1895.999878,48.9180873
1900,48.3082057
1903.999878,47.7756888
1908,47.3172285
1912,46.9014206
1915,46.6653293
1918.999878,46.4617157
1923,46.4617157
1926,46.4617157
1930,46.7409973
1934,46.9102364
1936.999878,46.7685707
1941,46.343855
1944,45.9320239
1948,45.2678333
1951,44.6991126
1954,44.0581086
1958,43.1007347
1961,42.3196622
1964,41.4927509
1967,40.640009
1971,39.4861833
1974,38.6973873
1977,37.8722588
1980,37.0015912
1982.999878,36.0916887
1986,35.1987416
1989,34.3451264
1992,33.5347935
1995,32.7531576
1998,32.0084369
2001.000122,31.3125877
2004.000244,30.6682988
2006,30.2884295
2009.000122,29.7441557
2012.000122,29.2288467
2015.000122,28.7587815
2017.000244,28.5140074
2020,28.207566
2023,27.8877285
2025.000122,27.734558
2028.000122,27.5898205
2030,27.5894775
2033,27.5894775
2036,27.7764339
2038.000122,27.9004421
2041.000122,28.22575
2044.000122,28.7741985
2046,29.507822
2049,30.3592739
2052,31.2402706
2054.000244,32.5617485
2057.000244,34.3765297
2060.000244,33.8135896
2062,33.2958576
2065,32.3550393
2068,31.3519688
2070.000244,31.3519688
2073.000244,31.3519688
2076,32.6244682
2079,31.7300115
2081,31.139035
2084,30.3408415
2086,29.8918968
2089,29.2833404
2092,28.777666
2094,28.5508423
2097,28.5508423
2099,28.5508423
2102,28.6834354
2105,28.749342
2107,29.0836277
2110.000244,29.6258183
2113.000244,30.2423534
2116.000244,30.807766
2118,31.4178791
2121,32.1100006
2124,32.782505
2127,33.3341484
2130,33.7287025
2133.000244,34.149559
2136.000244,34.5144119
2139.000244,34.6186277
2142.000244,34.3911973
2145,34.1147272
2148,33.7670083
2151,33.3936106
2154,33.0358512
2157,32.720093
2160,32.4397443
2163,32.2051922
2167,31.9408169
2170,31.9408169
2173,31.9408169
2176,32.0778465
2179.000244,32.1134834
2182.000244,32.3463287
2186,32.7743645
2189.000244,33.3366814
2192.000244,33.9620972
2195.000244,34.6276054
2199,35.5734138
2202.000244,36.8083
2206,38.2583351
2209,39.7894478
2212.000244,41.5267105
2216,43.9530907
2219,45.8954322
2222,45.3865947
2226,44.5505488
2229,43.8211761
2232,43.067904
2236,41.9815914
2239,41.1167926
2242,40.2025672
2245.000244,39.2626883
2249,37.9888662
2252,37.0340258
2255,36.0979217
2258.000244,35.1927598
2261.000244,34.3074027
2264.000244,33.4804089
2267.000244,32.748265
2270,32.1185299
2273,31.5469262
2275,31.2644205
2278,31.0142555
2281.000244,31.0142555
2284.000244,31.0142555
2286,31.4470406
2289,31.6688557
2292,32.3027458
2295,33.2245941
2297.000244,34.1187973
2300.000244,34.7023659
2303,35.5827637
2306,36.2469711
2308,36.5735703
2311,36.6806908
2314.000244,36.7551041
2317.000244,36.7843742
2319,36.8446007
2322,37.1756516
2325,37.7535362
2328,37.7701346
2331,37.3815884
2333.000244,37.0301862
2336,36.3830415
2339,35.6450947
2342,34.8547287
2344,34.3027583
2347,33.4460244
2350.000244,32.5711252
2352,31.9948441
2355,31.1320756
2357,30.564223
2360.000244,29.7383651
2363.000244,28.964986
2365,28.5148939
2368,27.8828753
2370.000244,27.5223297
2372,27.2359446
2375,26.8385481
2377,26.5931758
2379.000244,26.3905504
2382,26.0941828
2384,25.8931904
2387,25.8931904
2389.000244,25.8931904
2391,26.3075848
2394,26.6492615
2396.000244,27.3789387
2399.000244,28.5533791
2401,30.0668736
2403,29.6324826
2406.000244,28.7061178
2409.000244,27.5731605
2411,26.7696686
2414,26.7696686
2416.000244,26.7696686
2419.000244,33.6879201
2422.000244,32.8199078
2424,32.2339228
2427,31.4131946
2430,30.6312141
2432.000244,30.1573471
2435.000244,29.5105886
2438,28.9183523
2440,28.5688783
2443,28.0313336
2445.000244,27.7031771
2448.000244,27.2089435
2450,26.9043406
2453,26.417819
2455.000244,26.0996068
2458.000244,25.5543758
2460,25.2007186
2462.000244,24.8846103
2465.000244,24.4088483
2467,24.1177006
2469,23.8702203
2472,23.5114799
2474,23.3264618
2476,23.3264618
2478.000244,23.2782449
2481.000244,23.277977
2483,23.277977
2485.000244,23.5035362
2487,23.8760014
2489,24.3309612
2492,24.7590179
2494.000244,25.4011002
2496,26.2213898
2499,27.118391
2501.000244,27.9870987
2503,28.9076061
2506,30.0869865
2508.000244,31.4738789
2511.000244,32.927372
2513,34.3026733
2516,35.8164291
2518.000244,37.7394524
2521.000244,39.9885941
2524.000244,42.3473625
2526,44.5811119
2529,47.2013588
2532,50.6031532
2535,54.7537842
2538,58.4101353
2541.000244,58.0399227
2544.000244,57.5456868
2547.000244,56.9707304
2550.000244,56.350886
2554.000244,55.5079291
2557.000244,54.9630662
2560.000244,54.4052873
2564.000244,53.4709448
2567.000244,52.758121
2571,51.7911186
2574,51.0551416
2577.000244,50.3105638
2581,49.3011525
2584,48.5296881
2588,47.4785536
2591,46.672978
2595,45.573832
2598,44.7303892
2601,43.8713811
2605,42.7022371
2608,41.8088564
2611,40.8992488
2614,39.977006
2617,39.0468799
2620.000244,38.1127035
2623.000244,37.1761553
2626.000244,36.2323964
2629.000244,35.2926436
2632,34.3681214
2635,33.4634935
2638,32.5736134
2641,31.6942272
2643.000244,31.1407181
2646.000244,30.3568758
2649.000244,29.6099628
2651,29.143518
2654,28.4751607
2657,27.8486708
2659.000244,27.4920706
2662.000244,26.9913373
2664,26.6820687
2667,26.2302175
2669.000244,25.979225
2671,25.7933347
2674,25.5128003
2676,25.3249141
2678,25.1576555
2680,25.0365272
2683,24.8364079
2685.000244,24.7410738
2687,24.6111984
2689.000244,24.6111984
2691,24.6111984
2694,24.6592331
2696,24.8991184
2698.000244,25.2828617
2700,25.572731
2703,26.1256542
2705.000244,26.9634609
2707,28.0167885
2710,29.1489544
2712.000244,30.3641338
2715.000244,32.0663071
2717,34.1684608
2719,36.362957
2722,38.2914391
2724,40.8632965
2727,43.9323349
2730,47.2839928
2732,48.7826571
2735.000244,48.3120832
2738.000244,47.722732
2740,47.2744349
2743,46.5842775
2746,45.8868162
2749,45.3367144
2752,44.7603992
2755,44.0338814
2758.000244,43.2837687
2761.000244,42.574113
2764.000244,41.9067796
2767.000244,41.2820159
2770,40.7138486
2773,40.1948524
2776,39.6951692
2779,39.1802583
2782,38.6661579
2785,38.1353227
2788,37.5820438
2791.000244,37.0173616
2793,36.6573657
2796,36.1045834
2799,35.5766718
2802,35.1125039
2805,34.7269269
2808,34.3842736
2811,34.1321869
2814.000244,34.1321869
2817.000244,34.1321869
2820.000244,34.4546814
2823.000244,35.138092
2826,35.6020279
2830.000244,36.5784874
2833.000244,37.9965782
2836,39.5374069
2839,40.7959518
2842,42.4710922
2845,44.0805168
2848,45.1736832
2852,45.6095352
2855,45.6360588
2858,45.667511
2862,45.6223564
2865,45.6223564
2868,45.6223564
2872,45.765686
2875,45.8430252
2879.000244,46.0149574
2882,46.1245633
2885,46.0207348
2889.000244,45.8346932
2892.000244,45.6635276
2896.000244,45.425229
2899.000244,45.2859301
2903,45.1806365
2906.000244,45.1136795
2910,45.1133003
2913,45.1133003
2917,45.6588745
2920,46.7051735
2924,48.1576424
2928,49.3944893
2931,51.5666504
2935.000244,54.7525253
2939.000244,58.6607285
2942.000244,62.5577927
2946,68.418541
2950,75.5079353
2954,75.0346536
2958.000244,74.4599927
2961,73.9981892
2965.000244,73.3383085
2969,72.6520036
2973,71.9502037
2977,71.238741
2981.000244,70.5192359
2985.000244,69.7919757
2989,69.0569483
2993,68.3148917
2998.000244,67.3767513
3002,66.6175227
3006,65.8502199
3010,65.0748122
3014.000244,64.2911912
3019,63.2996851
3023,62.4972477
3027.000244,61.6856644
3031.000244,60.8667569
3036,59.8349456
3040.000244,59.0058439
3044.000244,58.1764458
3048,57.3442266
3052,56.5156302
3056,55.6972826
3060.000244,54.8930561
3064.000244,54.1033709
3068,53.3264678
3072,52.5746383
3076,51.8602799
3080.000244,51.19042
3084,50.5636885
3088,49.9801098
3092,49.4630413
3095,49.1448287
3099,48.8017462
3103.000244,48.5015427
3107,48.2939568
3111,48.2939568
3115,48.2939568
3119.000244,48.5258484
3123.000244,49.0516739
3127,49.4302292
3131,50.1151161
3135,50.9538231
3139.000244,51.6809845
3143.000244,52.0962753
3147,52.6285793
3151,52.4256409
3156.000244,52.1085964
3160,51.8700167
3164,51.6602923
3168,51.4898019
3172.000244,51.4891167
3176,51.4891167
3180,51.6798477
3184,52.4675064
3188,53.0193024
3192.000244,54.2399847
3196,53.8283002
3200,53.2402625
3203,52.7187253
3207,51.9227366
3210,51.3098014
3214,50.6731267
3217,50.1758464
3221.000244,49.3080594
3224,48.6392188
3228.000244,47.7251201
3231.000244,47.0772322
3234,46.4780136
3237,45.9233309
3241.000244,45.2413134
3244.000244,44.7956945
3247,44.4268219
3251.000244,44.0138262
3254.000244,43.7422728
3257,43.5527662
3261.000244,43.5525513
3264.000244,43.5525513
3267.000244,43.691859
3271.000244,43.3407771
3274.000244,42.9858429
3277.000244,42.5193705
3280,41.9412426
3284.000244,41.0285633
3287.000244,40.2666053
3290.000244,39.4299709
3293,38.5234025
3296,37.5559114
3299,36.5390738
3301,35.8385167
3304.000244,34.747289
3307.000244,33.6134749
3309,32.8355045
3312,31.6341934
3314.000244,30.8099957
3317.000244,29.5337195
3319,28.6560109
3321,27.7576804
3323.000244,26.8386017
3325,25.8973567
3327.000244,24.9293115
3329,23.9380463
3331,22.928147
3333.000244,21.903423
3334,21.3996003
3336,20.3832677
3338,19.36894
3339,18.9060779
3341,18.0350512
3342,17.6471879
3344,16.898762
3345,16.6136997
3347,16.0979223
3348,15.9016056
3349,15.7001689
3350.000244,15.6235241
3352,15.4083274
3353.000244,15.3663542
3354,15.2603504
3356.000244,15.2598886
3357,15.164483
3358,15.1643829
3360.000244,14.968844
3361,14.8379335
3362,14.8379335
3364,14.6976502
3365,14.6974802
3366.000244,14.6974802
3368,14.8203125
3369.000244,15.0119028
3370.000244,15.1641865
3372,15.4287186
3373.000244,15.7665043
3374,16.1106625
3376.000244,16.432375
3377,16.7470398
3378,17.1577148
3380,17.69837
3381,18.3783226
3383.000244,19.181881
3385,19.8640881
3386.000244,20.9370918
3388,22.4261303
3390,24.2066631
3392.000244,25.5346042
3394,24.9043042
3396.000244,24.2004145
3398,24.200016
3400,24.200016
3402.000244,27.2634586
3404,26.5903722
3406.000244,25.8655742
3408,25.2021309
3410,24.617813
3413,23.7795771
3415.000244,23.2697676
3417,22.8407853
3419.000244,22.5123712
3421,22.2846134
3423,22.0771165
3426,21.7633777
3428,21.76301
3430,21.76301
3432.000244,21.8987103
3434,22.1087303
3436,22.2887497
3439.000244,22.5685501
3441,22.9015217
3443,23.2318897
3445.000244,23.5409832
3447,23.8587112
3450,24.2682037
3452.000244,24.7890568
3454,25.4010296
3457,26.0510349
3459,26.6485786
3462.000244,27.4774723
3464,28.4917469
3466,29.548336
3469,30.4894733
3471.000244,31.5326462
3474,32.7370644
3477,33.9582253
3479,35.0547981
3482,35.9910316
3485.000244,36.9294624
3488.000244,38.0120239
3490,39.2227974
3493,40.470417
3496,41.6004715
3499,42.2433449
3502,41.8314775
3505,41.3027457
3509,40.5016895
3512,39.8571004
3515,39.1790786
