dists,speed
0,38
3.9999998,38.0045516
5.000001,37.6942497
6.000001,37.3828558
6.999999,37.0685648
7.9999995,36.7471995
9,36.422865
10,36.0971627
11,35.7692244
13,35.1082855
14,34.7779235
15.000001,34.4525476
17,33.8153276
18,33.498419
20,32.8846352
21.0000019,32.6012098
23.0000019,32.090148
24.9999981,31.6343148
26,31.4312655
28,31.0910685
30.0000019,30.8293103
32,30.6359553
34,30.463966
36,30.3965317
38,30.3964767
40,30.3964767
42,30.67519
45,31.0047779
47,31.289547
49,31.6576958
51,31.9791393
53.9999962,32.1547966
56,32.2013245
58,32.3078423
60.9999962,32.2842185
63,32.2302475
66,32.1169154
68,32.0413002
71,31.8940575
73,31.8010245
76,31.6431774
78,31.5568738
81,31.4381882
84,31.2848559
86,31.1990096
89,31.0730028
91,31.0728245
94,30.9915371
96,30.9915371
99,30.9915371
102,31.1246262
104,31.3825741
107,31.7355003
110,32.0322266
112,32.5357895
115,33.2588806
117.9999924,34.1519279
120,35.145401
123,36.0899277
125.9999847,37.4722672
129.0000153,39.3112717
132,41.4828415
134.9999847,43.7549515
138.0000153,46.4972496
141,47.7835411
144,47.2635532
147.0000153,46.6499944
151,45.8026674
154.0000153,45.204223
157,44.5856328
160,43.8938628
164,42.9389442
167,42.2535309
171,41.3619278
174,40.7460511
176.9999847,40.2107449
181,39.5981133
183.9999847,39.1987634
187,38.8965087
191.0000153,38.6339531
194,38.6339531
197,38.6339531
201,38.8789558
204,38.9715157
208,39.311264
211,39.8084869
215,40.3409576
218,40.8601723
222,41.4766273
225,42.2806473
229,43.307476
232,44.5324287
236,45.8869438
239,47.1185417
241.9999847,48.9412994
245.9999847,51.4367027
248.9999847,54.4178963
252.9999847,57.3310089
257,61.5431252
260,67.2457352
264,69.9946477
267,69.6809383
271,69.2075558
275,68.6808278
278,68.2591726
282,67.6650967
285.9999695,67.0404866
290,66.3893854
292.9999695,65.8859285
297,65.1953357
301,64.4955084
305,63.8888616
309,63.2703296
312,62.7085595
316,61.9451424
320,61.1714015
324,60.3871941
327.9999695,59.5923816
332,58.7874322
336,57.9922225
340,57.1844361
343.9999695,56.3547515
348,55.5116991
352,54.6570773
356,53.7961675
359.9999695,52.9272365
364,52.055853
368,51.2023298
371.9999695,50.3670501
376,49.5467737
380,48.7376779
384,47.9340798
387,47.3347431
391,46.5396519
394.9999695,45.7513472
398,45.1737177
401.9999695,44.4161658
405,43.8571373
408.9999695,43.1136023
412,42.5623413
415.9999695,41.820281
419,41.2594975
422,40.7012096
424.9999695,40.1377318
429,39.3714352
431.9999695,38.8248956
435,38.3517236
438.9999695,37.7960184
442,37.4231818
445,37.1273799
449,36.8514701
452,36.7578919
454.9999695,36.6338387
458,36.6338387
461.9999695,36.6338387
465,37.1972618
468,38.2055054
471,39.502182
475,40.7879181
478,42.8450737
481,45.5969162
484.9999695,48.5709839
488,51.0835762
492,54.7669525
494.9999695,56.4014144
498.9999695,55.9000982
502.0000305,55.4832726
506.0000305,54.9030013
509,54.457544
513,53.851318
517,53.2629696
520.000061,52.8488332
524.000061,52.331901
528,51.8488718
531,51.5338093
535,51.1872898
539.000061,50.9113269
542,50.7396793
546,50.5994823
550,50.5991783
554,50.5991783
557.000061,51.0101395
561.000061,51.6423035
565,52.1017456
569,52.9215813
573,54.0273323
576.000061,55.2144966
580.000061,56.2576447
584.000061,57.4818611
588,58.8098259
592,59.9658775
596,60.7122231
600,61.0091871
604.000061,60.8524559
608.000061,60.6558309
612.000061,60.4382531
616,60.1997464
620,59.937433
624,59.649983
628,59.3259946
632,58.9524895
636.000061,58.5214657
640.000061,58.0309557
644,57.4930632
648,56.8973039
652,56.2392323
656,55.5234299
659.000061,54.9541028
663.000061,54.1508487
667,53.307106
670,52.6635684
674,51.9460052
678.000061,51.2054923
681,50.536774
685,49.6272879
688,48.9534761
692.000061,48.077648
695,47.4436683
699,46.6223224
702,46.0435046
705.000061,45.5179894
709.000061,44.8855236
712,44.4587876
715.000061,44.0963677
719.000061,43.7148928
722,43.5224874
725,43.4108271
729.000061,43.2388261
732,43.2385979
735,43.2047079
739,42.9733374
742.000061,42.7333102
745,42.4592555
749,42.0336515
752.000061,41.6893621
756.000061,41.2416512
759,40.9527887
763,40.6199778
766.000061,40.4258942
770.000061,40.4256516
773,40.4256516
776,40.4437027
780.000061,41.0582886
783.000061,41.3554192
787,42.225914
790,43.7236252
794,45.6941719
798.000061,47.7694016
801,50.3240242
805,53.7873116
809,57.7395515
812.000061,61.3261948
816.000061,63.9799576
820,64.0466776
824,63.5865281
827,63.1852666
831,62.5971228
835.000061,61.9707504
839.000061,61.3086534
843,60.6141708
