dist ,speed
0,35
3.9999998,35.2660439
5.000001,34.9058634
6.000001,34.5441085
6.999999,34.1779819
7.9999995,33.8011624
9,33.4198377
10,33.0363453
11,32.6493375
13,31.8667859
14,31.4749942
15.000001,31.0896918
17,30.3352
18,29.958972
20,29.2292364
21.0000019,28.8947724
23.0000019,28.2949164
24.9999981,27.7605548
26,27.524387
28,27.1301925
30.0000019,26.8310608
32,26.6146206
34,26.4084764
36,26.3241215
38,26.3241215
40,26.3241215
42,26.5654945
45,26.8509235
47,27.0975418
49,27.4163704
51,27.6947498
53.9999962,27.8468704
56,27.887167
58,27.9794083
60.9999962,27.9491682
63,27.9490528
66,27.84433
68,27.8110943
71,27.6781446
73,27.6088807
76,27.4422953
78,27.343642
81,27.2908149
84,27.1379842
86,27.0674979
89,26.9101953
91,26.9098549
94,26.8394585
96,26.8394585
99,26.8394585
102,26.9547157
104,27.1781063
107,27.4837456
110,27.7407227
112,28.1768227
115,28.8030338
117.9999924,29.5764389
120,30.4368114
123,31.2547932
125.9999847,32.4519348
129.0000153,34.0445595
132,35.9251938
134.9999847,37.8928986
138.0000153,40.2678032
141,43.6520004
144,43.3956975
147.0000153,42.7237877
151,41.7794184
154.0000153,41.1284177
157,40.4437774
160,39.6454734
164,38.5265208
167,37.725413
171,36.6758458
174,35.9522278
176.9999847,35.3289362
181,34.6138442
183.9999847,34.1431376
187,33.7859312
191.0000153,33.4579849
194,33.4579849
197,33.4579849
201,33.6701622
204,33.7503242
208,34.0445518
211,34.4751587
215,34.9362946
218,35.3859482
222,35.9198151
225,36.6161156
229,37.5053749
232,38.5662155
236,39.7392578
239,40.8058548
241.9999847,42.384407
245.9999847,44.5454941
248.9999847,47.1272812
252.9999847,49.6501122
257,53.2979088
260,58.236515
264,63.6167717
267,67.4867102
271,67.1757292
275,66.7347812
278,66.3488057
282,65.7726205
285.9999695,65.1407686
290,64.4627593
292.9999695,63.9288694
297,63.1852172
301,62.4289769
305,61.8577536
309,61.2688774
312,60.6461517
316,59.7943055
320,58.9286721
324,58.0490908
327.9999695,57.1553956
332,56.2484504
336,55.3619452
340,54.4579821
343.9999695,53.5210343
348,52.5654798
352,51.594245
356,50.6158096
359.9999695,49.6271339
364,48.636868
368,47.6771566
371.9999695,46.7484118
376,45.8452209
380,44.9611031
384,44.0863942
387,43.436249
391,42.5748189
394.9999695,41.7231065
398,41.1057991
401.9999695,40.3005318
405,39.7104452
408.9999695,38.9225173
412,38.3398134
415.9999695,37.5448427
419,36.937652
422,36.3285048
424.9999695,35.7041969
429,34.8324844
431.9999695,34.2073689
435,33.67438
438.9999695,33.0449137
442,32.6169796
445,32.2776499
449,31.950123
452,31.8808996
454.9999695,31.7258339
458,31.7258339
461.9999695,31.7258339
465,32.2137756
468,33.086937
471,34.2098923
475,35.3233719
478,37.1049232
481,39.4880867
484.9999695,42.0637093
488,44.2396736
492,47.4295692
494.9999695,50.4876722
498.9999695,49.9642791
502.0000305,49.5058987
506.0000305,48.8526276
509,48.3442428
513,47.6417181
517,46.9561005
520.000061,46.4744188
524.000061,45.8708852
528,45.3021299
531,44.9325069
535,44.5263579
539.000061,44.2012754
542,43.995538
546,43.8201752
550,43.8201752
554,43.8201752
557.000061,44.176075
561.000061,44.7235451
565,45.1214333
569,45.8314362
573,46.7890434
576.000061,47.8171539
580.000061,48.7205505
584.000061,49.7807541
588,50.930809
592,51.9319725
596,52.578331
600,52.8611565
604.000061,53.2345505
608.000061,53.3758888
612.000061,53.3758888
616,53.3758888
620,53.4082375
624,53.4612541
628,53.6864166
632,54.1837883
636.000061,54.4536998
640.000061,54.1041619
644,53.6551106
648,53.0943591
652,52.4221557
656,51.6525434
659.000061,51.0228475
663.000061,50.1130553
667,49.1405949
670,48.3948543
674,47.6197224
678.000061,46.8069429
681,46.0236258
685,44.9506703
688,44.1556747
692.000061,43.1230139
695,42.376865
699,41.4071383
702,40.7251032
705.000061,40.1096301
709.000061,39.3680664
712,38.8668042
715.000061,38.4420856
719.000061,37.9923733
722,37.7706338
725,37.6609021
729.000061,37.4459386
732,37.4457245
735,37.4457245
739,37.6285477
742.000061,37.5330384
745,37.2924044
749,36.8564892
752.000061,36.4809768
756.000061,35.9739382
759,35.6463158
763,35.2522291
766.000061,35.0096436
770.000061,35.0096436
773,35.0096436
776,35.0252762
780.000061,35.5575218
783.000061,35.814846
787,36.568718
790,37.8657722
794,39.5723152
798.000061,41.3695183
801,43.5818787
805,46.5811844
809,50.0039177
812.000061,53.1100388
816.000061,55.4082642
820,58.643013
824,60.352343
827,60.0122438
831,59.4531787
835.000061,58.8251895
839.000061,58.135437
843,57.3915994
847,56.6050277
851,55.7930816
855,54.9591023
859,54.1080569
862.000061,53.4624162
866,52.6048818
870,51.7560052
874,50.9163357
878,50.083868
881.000061,49.4763249
885.000061,48.6886884
889,47.9163287
893,47.1478596
896,46.5825468
900.000061,45.8386429
904.000061,45.1009508
907,44.5555892
911,43.8205807
914.000061,43.2710551
918.000061,42.5340802
921,41.9870613
924,41.4442986
928.000061,40.703601
931,40.1430938
934,39.5855433
937.000061,39.0368388
941.000061,38.2997521
944,37.7512996
947,37.2039861
950.000061,36.6716529
953,36.1676209
957,35.5129863
960.000061,35.0454714
963,34.60006
966,34.2003796
969.000061,33.8666564
973.000061,33.4692839
976,33.1937262
979.000061,32.9766408
982,32.84472
985,32.8441391
988.000061,32.8441391
991,33.0491409
995.000061,33.1682777
997.999939,33.50103
1000.999939,34.0615807
1003.999939,34.7963028
1007,35.6217117
1010.999939,36.425518
1013.999939,37.5918961
1016.999939,39.0982361
1020.999878,40.7954712
1023.999939,42.4783783
1028,44.4124374
1031,46.9684715
1035,50.0640526
1038,53.2981061
1041.999878,52.8284893
1046,52.1584859
1048.999878,51.5563885
1053,50.6591371
1056.999878,49.6993269
1060,48.9533414
1064,47.9356041
1068,46.9309161
1071.999878,45.8958643
1074.999878,45.0820076
1079,43.9675526
1082,43.1192275
1086,41.9860651
1089,41.1488935
1092.999878,40.057094
1096,39.2614711
1099.999878,38.2175199
1102.999878,37.4718077
1106,36.7830132
1110,35.9262678
1112.999878,35.3305768
1115.999878,34.7974293
1119,34.3580792
1122,34.0362992
1125,33.8304119
1129,33.5247151
1132,33.4569283
1135,33.4569283
1138,33.3902602
1140.999878,33.0941195
1143.999878,32.688913
1147,32.1946928
1150,31.6135657
1153,31.0109821
1156,30.435368
1158.999878,29.9093287
1162,29.406832
1165,28.9880392
1168,28.7007583
1171,28.5794415
1173.999878,28.313755
1176.999878,28.313755
1180,28.313755
1183,28.7397423
1186,29.5425835
1189,30.5443935
1191,31.6621132
1194,33.3279724
1196.999878,35.2506409
1199.999878,36.8001671
1203,37.0159716
1206,36.5425354
1209,36.0104349
1212,35.452101
1216,34.7425673
1219,34.2650784
1222,33.8319291
1224.999878,33.4854078
1227.999878,33.2489295
1231,33.0979376
1234,32.8833629
1237,32.8830605
1240.999878,32.8830605
1244,32.946209
1247,33.1787071
1250,33.3744965
1253,33.6562805
1255.999878,33.9044113
1260,33.9343147
1263,33.8612248
1265.999878,33.7479401
1268.999878,33.6379067
1273,33.546657
1275.999878,33.546051
1278.999878,33.546051
1282,33.6688118
1286,33.7442169
1288.999878,33.9362755
1291.999878,34.2112007
1296,34.5206985
1298.999878,34.8778191
1301.999878,35.2575951
1306,35.8419342
1309,36.7450447
1311.999878,38.023674
1314.999878,37.9790688
1318,37.3891022
1321,36.6419155
1324,35.8478295
1328,34.9899815
1331,34.3789315
1334,33.7018905
1336,33.1550076
1339,32.2741001
1342,31.4715117
1344.999878,30.742257
1347.999878,30.1042099
1351,29.6007912
1354,29.2569913
1357,29.0523457
1360,28.7798672
1362,28.7798672
1365,28.7798672
1367.999878,29.0190163
1370.999878,29.4413433
1374,29.900301
1377,30.3543072
1380,30.9375477
1383,31.5747204
1385.999878,32.1986237
1389,32.8123703
1392,33.4097023
1395.999878,34.2394638
1398.999878,35.3757706
1402,36.8090363
1405,38.445385
1408.999878,40.1166763
1412,42.6341438
1415,46.0471954
1418.999878,49.9700317
1421.999878,53.3408241
1426,54.3108169
1429,53.9302208
1433,53.3197475
1436.999878,52.6803172
1439.999878,52.003793
1444,51.0553813
1448,50.0842876
1451,49.3411879
1454.999878,48.3280124
1459,47.2820766
1463,46.2065786
1466,45.3812158
1469.999878,44.3388615
1472.999878,43.5421379
1477,42.4437556
1480,41.5939618
1484,40.4450645
1487,39.6051038
1490.999878,38.52557
1494,37.7523018
1497,37.0166671
1500.999878,36.1004128
1504,35.4897615
1507,34.9611018
1510.999878,34.3060497
1514,33.8952485
1517,33.5986061
1520,33.5986061
1523.999878,33.5986061
1527,33.639164
1530,33.6683693
1533,34.1144447
1537,35.0315018
1540,36.3493729
1543,37.9035301
1546.999878,39.5708809
1550,42.1213531
1554,45.5992928
1556.999878,47.1168537
1560,46.6011983
1564,45.7661406
1568,44.8898036
1571,44.2070053
1574.999878,43.2139629
1578,42.4423712
1582,41.398691
1584.999878,40.6466766
1589,39.7084442
1592,39.0677717
1596,38.2707258
1599,37.7359745
1602.999878,37.1174619
1606,36.7478588
1610,36.3359483
1612.999878,36.0577768
1615.999878,35.864032
1620,35.7726021
1622.999878,35.7726021
1627,35.7726021
1630,36.036087
1634,36.2199898
1637,36.6534843
1640.999878,37.3803329
1643.999878,38.3684196
1648,39.5354385
1650.999878,40.7022552
1655,42.4843254
1658.999878,44.9290352
1662,46.8188794
1666,46.1966034
1670,45.3705362
1673,44.6530843
1676.999878,43.6589062
1681,43.0871604
1685,42.4532084
1688,41.6455802
1691.999878,40.52551
1694.999878,39.7025778
1699,38.6348595
1702,37.8560045
1706,36.8375167
1709,36.1057314
1713,35.1559354
1716,34.4630165
1719,33.7731909
1722.999878,32.8343384
1726,32.133589
1729,31.4374953
1732,30.7406287
1735,30.0347001
1737.999878,29.3114328
1740.999878,28.5926986
1744,27.9058187
1747,27.2680003
1750,26.6645475
1753,26.0979712
1755.999878,25.6076149
1758,25.3947599
1760.999878,25.1764827
1763,24.981884
1765.999878,24.981884
1768.999878,24.981884
1770.999878,25.2586575
1773.999878,25.805048
1775.999878,26.5533276
1778.999878,27.2630539
1782,28.4600124
1785,30.1796837
1787,32.2835083
1790,34.4590187
1793,37.2442093
1796,38.1681038
1798.999878,37.4405904
1801.999878,36.6689339
1805,36.6689339
1808,36.6689339
1811,54.9618733
1814,54.6332379
1816.999878,54.2877699
1819.999878,53.9934866
1824,53.7348366
1827,53.734333
1829.999878,53.734333
1834,53.9511948
1837,54.6125751
1841,54.3700896
1844,54.0957226
1847.999878,53.6229236
1852,53.0666849
1855,52.6062797
1859,51.9341185
1862.999878,51.2079746
1865.999878,50.6346026
1870,49.8413023
1874,49.0293748
1878,48.1904552
1880.999878,47.5598005
1885,46.7349279
1889,45.9425614
1893,45.1892247
1895.999878,44.6548288
1900,44.0062364
1903.999878,43.4407704
1908,42.953517
1912,42.5059731
1915,42.2511974
1918.999878,42.0262032
1923,42.0262032
1926,42.0262032
1930,42.27882
1934,42.4319077
1936.999878,42.8793182
1941,43.5885735
1944,43.4707526
1948,42.9303535
1951,42.4218752
1954,41.8126029
1958,40.8628519
1961,40.0693596
1964,39.2179483
1967,38.334889
1971,37.1376927
1974,36.3401275
1977,35.4965967
1980,34.5953864
1982.999878,33.6444775
1986,32.7130974
1989,31.8279526
1992,30.9930858
1995,30.1892406
1998,29.4251823
2001.000122,28.7143735
2004.000244,28.0588538
2006,27.680353
2009.000122,27.1350415
2012.000122,26.6136339
2015.000122,26.1322897
2017.000244,25.8907904
2020,25.5996035
2023,25.2701187
2025.000122,25.1159153
2028.000122,24.9556236
2030,24.9556236
2033,24.9556236
2036,25.1247311
2038.000122,25.2369022
2041.000122,25.5311508
2044.000122,26.0272408
2046,26.6908321
2049,27.4609985
2052,28.2578869
2054.000244,29.4532089
2057.000244,31.0947399
2060.000244,31.0332891
2062,30.4862641
2065,29.4644087
2068,28.3592944
2070.000244,28.3589211
2073.000244,28.3589211
2076,30.1403677
2079,29.199711
2081,28.5751896
2084,27.7325406
2086,27.2637966
2089,26.620977
2092,26.0757525
2094,25.8252087
2097,25.8252087
2099,25.8252087
2102,25.9451427
2105,26.0047588
2107,26.3071308
2110.000244,26.7975636
2113.000244,27.3552399
2116.000244,27.8666725
2118,28.4185371
2121,29.0445881
2124,29.6528893
2127,30.1518726
2130,30.5087624
2133.000244,30.8894386
2136.000244,31.2194576
2139.000244,31.4311047
