Distance (Meters),Speed (m/s)
0,0.0555554
0.0055555,0.125
0.0180553,0.1944445
0.0375009,0.5277777
0.0902779,0.9166666
0.1819431,1.4166666
0.3236076,2.0833333
0.5319378,2.8055553
0.8125104,3.5277777
1.1652828,4.3888888
1.604165,5.1944447
2.1236015,6.0277781
2.7263701,6.8611112
3.4125231,7.5555553
4.1680671,8.3055553
4.99861,8.9444447
5.8930408,9.4722223
6.8402486,10
7.8403096,10.5277786
8.8930714,10.9722223
9.990277,11.5277777
11.1430371,12.1111116
12.3541298,12.6944456
13.6236519,13.250001
14.9486318,13.7777786
16.3263886,14.3611116
17.7624779,14.9444447
19.2568996,15.5277796
20.8097724,16.1111126
22.4208591,16.7222233
24.093056,17.3055553
25.8235851,17.916666
27.6152243,18.5277786
29.4681152,19.0833359
31.3764197,19.6111107
33.3375008,20.0277767
35.3402479,20.4444447
37.3846612,20.8055553
39.4653437,21.1666679
41.5819783,21.5
43.7319455,21.8611126
45.9180234,22.1944447
48.137434,22.5277767
50.3903492,22.8611107
52.6764252,23.2500019
55.00139,23.583334
57.3596874,23.8611126
59.7457621,24.1111126
62.1570206,24.3611126
64.5930946,24.5555553
67.0486126,24.7222214
69.520797,24.9166679
72.0124259,25.1111126
74.5236905,25.2222233
77.0458744,25.25
79.5708359,25.2777786
82.0985751,25.2870369
84.6272402,25.2962971
87.1570244,25.3055553
89.6875413,25.333334
92.220836,25.3611126
94.7569084,25.4444447
97.3013141,25.5
99.8514698,25.6111126
102.4125419,25.7222233
104.984725,25.9166679
107.5763524,26.1666698
110.1929794,26.4722233
112.8403633,26.8333321
115.5236554,27.3611107
118.2597246,27.7777767
121.0374599,28.2777786
123.8651946,28.75
126.7403701,29.1944447
129.65977,29.5555573
132.6152807,29.9722214
135.6124571,30.3611145
138.6485222,30.7222233
141.720932,31.1388874
144.8347733,31.5277786
147.9875031,31.8888912
151.1763435,32.25
154.4012943,32.5833359
157.6598268,32.8055573
160.9403324,32.9722252
164.2375047,33.0833321
167.5457874,33.0694466
170.8526817,33.0555573
174.1584392,33.0277824
177.4611671,33
180.7611168,33.0277824
184.0638447,33.0555573
187.36935,33.0833321
190.6778851,33.1388893
193.9917236,33.3055573
197.3222285,33.4722214
200.6693995,33.6944466
204.0387929,33.9444466
207.4334448,34.1111145
210.8445041,34.3055534
214.275007,34.3611145
217.711066,34.3888893
221.1499026,34.4166679
224.5917795,34.3611145
228.0278385,34
231.4277866,34.0416679
234.8319016,34.0833359
238.2401831,34.2222214
241.6626141,34.4444466
245.1070063,34.8333359
248.5902868,35.1111107
252.1013441,35.3333359
255.6346238,35.5555573
259.1903966,35.75
262.765342,35.9444466
266.3597319,36.1111107
269.9707878,36.2222252
273.5929551,36.3611107
277.2292881,36.5555573
280.8847881,36.7222214
284.5569542,36.9166679
288.2485647,37.1388893
291.9623971,37.3888893
295.7015143,37.5833359
299.4597905,37.7222214
303.2319551,37.9444466
307.0263419,38.1944427
310.8457279,38.4444466
314.6904073,38.6666679
318.5570152,39.0000038
322.4569562,39.2222214
326.3791185,39.4444427
330.3235026,39.6388893
334.2876334,39.7222252
338.2597955,39.6805573
342.2277906,39.6388893
346.1916192,39.4722252
350.1387816,39.2777786
354.0667992,39.0555611
357.9722958,38.75
361.8472367,38.3611145
365.6832896,37.8333359
369.4665654,37.3611107
373.2029045,37.1388893
376.9167369,36.8888893
380.6055696,36.6111145
384.2666252,36.3333321
387.8999028,35.8055611
391.4806774,34.8333359
394.9639578,34.1388893
398.3777948,33.75
401.7527433,33.3888893
405.0915814,33.0555573
